Price,Bedroom,Bathroom,Floors,Area,Road_Width,Amenities_Count,Property_Age,City_Bhaktapur,City_Chitwan,City_Dharan,City_Jhapa,City_Kathmandu,City_Lalitpur,City_Nawalparasi,City_Pokhara,Road_Type_Gravelled,Road_Type_Paved,Road_Type_Soil Stabilized,Neighborhood_encoded
5500000.0,0,0,3.0,12.0,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.003482298316889147
7000000.0,0,0,3.0,7.0,29.52756,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
25000.0,2,2,3.0,3.170197224,13.0,10,6,0,0,0,0,0,1,0,0,0,1,0,0.014509576320371444
550000.0,0,0,3.0,10.75,10.0,0,8,1,0,0,0,0,0,0,0,1,0,0,0.0001934610176049526
115000.0,0,0,3.0,4.090577064,0.0,0,8,0,0,0,0,0,1,0,0,0,0,1,0.005029986457728767
35000000.0,0,0,3.0,4.090577064,20.0,0,8,0,0,0,0,0,1,0,0,0,0,1,0.005029986457728767
3000000.0,0,0,3.0,5.0,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.00444960340491391
23000000.0,3,3,3.0,4.625273923,20.0,14,8,0,0,0,0,1,0,0,0,0,0,1,0.0007738440704198104
80000.0,3,2,4.0,4.42366691,0.0,17,8,0,0,0,0,1,0,0,0,0,1,0,0.00522344747533372
35000.0,2,2,3.0,6.0,10.0,5,8,0,0,0,0,0,1,0,0,0,0,1,0.0015476881408396208
290000.0,0,1,1.0,2.629656684,12.0,5,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
150000.0,3,4,3.0,5.0,0.0,9,8,0,0,0,0,1,0,0,0,0,0,1,0.0017411491584445734
11000000.0,0,0,3.0,9.75,32.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
11000000.0,0,0,3.0,10.0,40.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
20000.0,0,0,3.0,12.0,19.68504,0,8,0,1,0,0,0,0,0,0,0,1,0,0.0005803830528148578
3500000.0,0,0,3.0,4.0,19.68504,0,8,0,0,0,0,0,1,0,0,0,0,1,0.0025149932288643837
16500000.0,3,2,5.0,3.506208912,40.0,14,24,0,0,0,0,0,1,0,0,0,1,0,0.009092667827432772
60000.0,4,3,3.0,4.0,0.0,5,8,0,0,0,0,0,1,0,0,0,0,1,0.0025149932288643837
70000.0,4,3,3.0,4.0,0.0,6,8,1,0,0,0,0,0,0,0,0,0,1,0.000967305088024763
120000.0,5,4,3.0,10.0,0.0,0,8,0,0,0,0,0,1,0,0,0,0,1,0.0005803830528148578
2400000.0,0,0,3.0,4.0,16.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
2200000.0,0,0,3.0,5.0,13.0,0,8,1,0,0,0,0,0,0,0,0,0,1,0.0021280711936544788
3000000.0,0,0,3.0,7.75,13.0,4,8,0,0,0,0,0,1,0,0,0,1,0,0.014509576320371444
70000.0,0,0,4.0,6.0,25.0,8,6,0,0,0,0,1,0,0,0,0,1,0,0.1456761462565293
7000000.0,0,0,3.0,2.5,26.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
2500000.0,0,0,3.0,11.5,14.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0015476881408396208
6000000.0,0,0,3.0,8.0,32.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.003869220352099052
24500000.0,0,3,2.0,3.0,16.0,18,8,0,0,0,0,1,0,0,0,1,0,0,0.005610369510543625
2500000.0,0,0,3.0,11.5,14.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0007738440704198104
17000000.0,5,3,3.0,3.0,14.0,9,8,0,0,0,0,1,0,0,0,0,0,1,0.0015476881408396208
15000.0,2,1,3.0,8.5,13.0,1,8,0,0,0,0,0,0,0,1,0,1,0,0.0001934610176049526
2850000.0,0,0,3.0,5.25,12.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0007738440704198104
15000000.0,0,0,3.0,13.625,20.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0007738440704198104
40000.0,4,3,3.0,4.38276114,22.0,8,62,0,0,0,0,1,0,0,0,1,0,0,0.004836525440123815
200000.0,6,4,3.0,10.0,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0017411491584445734
1150000.0,0,0,3.0,7.25,11.0,0,8,0,0,0,0,1,0,0,0,1,0,0,0.003869220352099052
40000.0,3,2,3.0,10.0,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0005803830528148578
4200000.0,0,0,3.0,13.0,36.08924,0,8,0,0,0,0,1,0,0,0,0,1,0,0.004836525440123815
3500000.0,0,0,3.0,4.38276114,0.0,0,8,0,0,0,0,0,1,0,0,0,0,1,0.0003869220352099052
28500000.0,6,6,3.0,5.5,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0025149932288643837
21500000.0,0,0,3.0,3.5,13.0,1,8,0,0,0,0,0,1,0,0,1,0,0,0.0036757593344940993
20000.0,2,1,3.0,3.5,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0001934610176049526
3000000.0,0,0,3.0,4.0,13.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.005803830528148578
12500000.0,3,1,2.0,5.0,16.0,4,8,0,0,0,0,0,1,0,0,0,1,0,0.0011607661056297156
32500000.0,11,0,3.0,4.5,20.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0017411491584445734
22000000.0,5,3,2.5,4.0,10.0,6,6,0,0,0,0,0,1,0,0,1,0,0,0.0001934610176049526
17000000.0,0,2,3.0,3.1,20.0,1,65,0,0,0,0,1,0,0,0,0,1,0,0.0017411491584445734
3000000.0,0,0,3.0,4.25,13.0,2,8,1,0,0,0,0,0,0,0,0,1,0,0.000967305088024763
11000000.0,2,1,1.5,2.75,13.0,4,6,0,0,0,0,0,1,0,0,1,0,0,0.0036757593344940993
900000.0,0,0,3.0,5.0,10.0,0,8,0,0,0,0,0,1,0,0,0,0,1,0.0017411491584445734
15000000.0,0,0,3.0,8.0,45.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
13000000.0,4,2,1.5,3.0,13.0,4,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
42500000.0,28,0,5.0,5.3125,29.0,5,8,0,0,0,0,1,0,0,0,0,0,1,0.0023215322112594312
1300000.0,0,0,3.0,14.0,20.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
300000.0,8,5,3.0,12.0,0.0,2,8,0,0,0,0,0,1,0,0,0,0,1,0.0005803830528148578
10500000.0,0,0,3.0,7.25,0.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0013542271232346683
50000000.0,3,3,3.0,80.0,20.0,1,12,0,0,0,0,1,0,0,0,0,1,0,0.0007738440704198104
10500000.0,4,2,3.0,4.0,13.0,3,73,0,1,0,0,0,0,0,0,0,1,0,0.0005803830528148578
30000000.0,6,5,3.0,5.0,14.0,6,63,0,0,0,0,1,0,0,0,1,0,0,0.0001934610176049526
31500000.0,4,4,3.0,4.3,12.0,7,70,0,0,0,0,0,1,0,0,0,1,0,0.009092667827432772
18000000.0,3,3,3.0,3.1875,18.0,8,8,0,0,0,0,0,1,0,0,0,0,1,0.0013542271232346683
57500000.0,4,5,3.0,8.0,20.0,11,6,0,0,0,0,1,0,0,0,0,1,0,0.16927839040433354
30000000.0,0,3,3.0,2.0,25.0,13,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
100000.0,3,3,3.0,11.0,20.0,9,81,0,0,0,0,0,1,0,0,0,1,0,0.000967305088024763
15500000.0,0,0,3.0,4.0,18.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0032888372992841944
7500000.0,0,0,3.0,9.5,20.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
60000000.0,0,0,2.0,9.5,15.0,18,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
1200000.0,0,0,3.0,4.75,20.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
2700000.0,0,0,3.0,5.0,12.0,2,8,0,0,0,0,1,0,0,0,0,1,0,0.002901915264074289
35000000.0,7,3,2.5,3.625,12.0,11,6,0,0,0,0,1,0,0,0,0,1,0,0.0007738440704198104
3600000.0,0,0,3.0,9.0,16.0,5,8,0,0,0,0,1,0,0,0,0,1,0,0.1313600309537628
25000000.0,6,4,4.0,2.5,20.0,7,82,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
15500000.0,0,0,2.0,3.5,13.0,4,67,0,0,0,0,1,0,0,0,0,1,0,0.0013542271232346683
9500000.0,0,0,3.0,13.0,40.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
75000000.0,0,0,5.0,9.0,12.0,18,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
3500000.0,0,0,3.0,13.0,25.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
75000000.0,0,0,3.0,10.0,16.0,24,8,0,0,0,0,1,0,0,0,1,0,0,0.0001934610176049526
4500000.0,0,0,3.0,8.0,16.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0032888372992841944
3700000.0,0,0,3.0,9.0,16.0,0,8,0,0,0,0,1,0,0,0,1,0,0,0.16927839040433354
39500000.0,0,0,4.0,6.0,18.0,20,8,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
70000.0,0,2,3.0,4.674945215,0.0,0,8,0,0,0,0,0,0,0,1,0,0,1,0.0005803830528148578
5000000.0,0,0,3.0,10.0,16.0,0,8,0,0,0,0,1,0,0,0,1,0,0,0.0017411491584445734
37000000.0,5,6,3.0,4.0,20.0,6,6,0,0,0,0,1,0,0,0,0,1,0,0.14025923776359064
40000.0,0,0,3.0,2.337472608,0.0,0,8,0,0,0,0,0,0,0,1,0,0,1,0.0005803830528148578
25600000.0,0,0,4.0,4.0,10.0,9,69,0,0,0,0,0,1,0,0,1,0,0,0.002901915264074289
78000.0,4,4,3.0,5.0,0.0,10,8,0,0,0,0,0,1,0,0,0,0,1,0.0003869220352099052
36500000.0,5,4,2.0,6.25,20.0,30,62,0,0,0,0,1,0,0,0,0,1,0,0.0003869220352099052
102500000.0,5,0,2.0,19.0,20.0,30,8,0,0,0,0,1,0,0,0,0,1,0,0.0001934610176049526
22500000.0,5,3,3.0,3.25,14.0,25,62,0,0,0,0,1,0,0,0,0,1,0,0.0011607661056297156
23500000.0,5,3,3.0,3.0,15.0,25,62,0,0,0,0,1,0,0,0,0,1,0,0.0005803830528148578
22500000.0,4,3,3.0,3.1875,15.0,24,6,0,0,0,0,1,0,0,0,1,0,0,0.16927839040433354
32500000.0,5,4,3.0,4.0,15.0,26,62,0,0,0,0,1,0,0,0,1,0,0,0.16927839040433354
42500000.0,5,0,3.0,12.0,15.0,24,8,0,0,0,0,1,0,0,0,0,1,0,0.16927839040433354
